trade_id,timestamp,ticker,action,quantity,entry,exit_price,stop_loss,take_profit,status,pnl,pnl_points,pnl_rupees,duration_seconds,reason,score,closed_at,updated_at
NIFTY_PE-2026-09-17T03:45:00-SELL,2026-09-17T03:45:00,NIFTY_PE,SELL,65,134.1,,181.035,49.617,open,0.0,,,,,70,,
NIFTY_CE-2026-09-17T03:53:32-BUY,2026-09-17T03:53:32,NIFTY_CE,BUY,65,178.75,,116.1875,291.36249999999995,open,0.0,,,,,85,,
LT_CE-2026-09-17T04:34:07-BUY,2026-09-17T04:34:07,LT_CE,BUY,175,55.55,53.55,36.1075,90.5465,closed,-350.0,-2.0,-350.0,18652.267337,MARKET_CLOSE_FORCED_EXIT,85,2026-09-17T09:45:00,
LT_PE-2026-09-17T04:34:09-SELL,2026-09-17T04:34:09,LT_PE,SELL,175,51.0,47.4,68.85000000000001,18.87,closed,630.0000000000002,3.6000000000000014,630.0000000000002,18651.225367,MARKET_CLOSE_FORCED_EXIT,70,2026-09-17T09:45:00,
